name,color,deviceType,unit,circuit,savedIndex,,
Unit 08.11 FT LED 11 W,16777215,LOR,8,11,123,,
Unit 08.12 FT LED 12 W,16777215,LOR,8,12,124,,
Unit 08.13 FT LED 13 W,16777215,LOR,8,13,125,,
Unit 08.14 FT Clear 14,8454143,LOR,8,14,126,,
Unit 08.15 FT clear 15,8454143,LOR,8,15,127,,
Unit 08.16 Green FL 5 4.17a,32768,LOR,8,16,128,,
Unit 09.01 FTO 1 Green LED,65280,LOR,9,1,129,,
Unit 09.02 FTO-2 Mix,33023,LOR,9,2,130,,
Unit 09.03 FTO-3 Gold,65535,LOR,9,3,131,,
Unit 09.04 FTO-4 Red,255,LOR,9,4,132,,
Unit 09.05 FTO-5 Red,255,LOR,9,5,133,,
Unit 09.06 FTO-6 Red LED,255,LOR,9,6,134,,
Unit 09.07 FTO-7 Red LED,255,LOR,9,7,135,,
Unit 09.08 FTO-8 Red LED,255,LOR,9,8,136,,
Unit 09.09 FTO-9 Red LED,255,LOR,9,9,137,,
Unit 09.10 FTO-10 Red LED,255,LOR,9,10,138,,
Unit 09.11 FTO-11 Red LED,255,LOR,9,11,139,,
Unit 09.12 FTO-12 Red,255,LOR,9,12,140,,
Unit 09.13 FTO-13 Red,255,LOR,9,13,141,,
Unit 09.14 FTO-14 Gold,65535,LOR,9,14,142,,
Unit 09.15 FTO-15 Blue +blue LED,16711680,LOR,9,15,143,,
Unit 09.16 Gold FL 4  4.17a,50886,LOR,9,16,144,,
Unit 0A.01 Gold FL 5  4.17a,50886,LOR,10,1,145,,
Unit 0A.02 Red FL 5  4.17a,255,LOR,10,2,146,,
Unit 0A.03 Gold FL 3  4.17a,50886,LOR,10,3,147,,
"Unit 0A.04 CBrown, Tree Corner  1.0a MIXED",33023,LOR,10,4,148,,
"Unit 0A.05 Strobe 16,17,18  1.3a",16777215,LOR,10,5,149,,
Unit 0A.06  LR Tree Clear  1.65a WHITE,15724527,LOR,10,6,150,,
Unit 0A.07 Spiral 3  1.0a,33023,LOR,10,7,151,,
Unit 0A.08 Spiral 4  1.0a,33023,LOR,10,8,152,,
Unit 0A.09 Gold FL 6  4.17a,50886,LOR,10,9,153,,
Unit 0A.10 Red FL 6  4.17a,255,LOR,10,10,154,,
Unit 0A.11 Green FL 6  4.17a,32768,LOR,10,11,155,,
Unit 0A.12 Star LED Mixes  0.2a,33023,LOR,10,12,156,,
Unit 0A.13 Red 2 tree LED Truck/Branch   0.43a   RED,255,LOR,10,13,157,,
Unit 0A.14 GREEN 2 Tree LED Trunk/Branch  0.5a  GREEN,32768,LOR,10,14,158,,
Unit 0A.15 RED Trees  1.6a  RED,255,LOR,10,15,159,,
Unit 0A.16 GREEN Trees  1.1a GREEN,32768,LOR,10,16,160,,
"Unit 0B.01 FL Clear Cable 1,2  7.1a",4259839,LOR,11,1,161,,
Unit 0B.02 Star 1A T-White LED,16777215,LOR,11,2,162,,
Unit 0B.03 Star 1A R-White LED,16777215,LOR,11,3,163,,
Unit 0B.04 Star 1A BR White LED,16777215,LOR,11,4,164,,
Unit 0B.05 Star 1A BL-White LED,16777215,LOR,11,5,165,,
Unit 0B.06 Star 1A L-White LED,16777215,LOR,11,6,166,,
Unit 0B.07 Star 1A Mid-White LED,16777215,LOR,11,7,167,,
Unit 0B.08 Purple/Yellow Heart,16711808,LOR,11,8,168,,
Unit 0B.09 Star 1B T-Blue LED,16711680,LOR,11,9,169,,
Unit 0B.10 Star 1B R-Blue LED,16711680,LOR,11,10,170,,
Unit 0B.11 Star 1B BR-Blue LED,16711680,LOR,11,11,171,,
Unit 0B.12 Star 1B BL-Blue LED,16711680,LOR,11,12,172,,
Unit 0B.13 Star 1B L-Blue LED,16711680,LOR,11,13,173,,
Unit 0B.14 Star 1B Mid-Blue LED,16711680,LOR,11,14,174,,
Unit 0B.15 Green Heart,32768,LOR,11,15,175,,
Unit 0B.16 White Heart,16777215,LOR,11,16,176,,
"Unit 0C.01 FL Clear Cable 3,4  7.1a",4784127,LOR,12,1,177,,
Unit 0C.02 Star R6-Red LED,255,LOR,12,2,178,,
Unit 0C.03 Star R5-Red LED,255,LOR,12,3,179,,
Unit 0C.04 Star R4-Red LED,255,LOR,12,4,180,,
Unit 0C.05 Star R3-Red LED,255,LOR,12,5,181,,
Unit 0C.06 Star R2-Red LED,255,LOR,12,6,182,,
Unit 0C.07 Star R1-Red LED,255,LOR,12,7,183,,
"Unit 0C.08 Strobes, 50 Cable, 50 stars, 25 heart",16777215,LOR,12,8,184,,
Unit 0C.09 Star G-6 Green LED,65280,LOR,12,9,185,,
Unit 0C.10 Star G-5 Green LED,65280,LOR,12,10,186,,
Unit 0C.11 Star G-4 Green LED,65280,LOR,12,11,187,,
Unit 0C.12 G-3 Green LED,65280,LOR,12,12,188,,
Unit 0C.13 G-2 Green LED,65280,LOR,12,13,189,,
Unit 0C.14 G-1 Green LED,65280,LOR,12,14,190,,
Unit 0C.15 Blue Heart,16711680,LOR,12,15,191,,
Unit 0C.16 Red Heart,2368767,LOR,12,16,192,,
Unit 0D.01 750 Watt Strobe NE 4  4.9a,16777215,LOR,13,1,193,,
Unit 0D.02 North Rail Sec 1 Red/Clear,4210816,LOR,13,2,194,,
Unit 0D.03 North Rail Sec 2 Clear,8454143,LOR,13,3,195,,
Unit 0D.04 North Rail Sec 3 Clear,8454143,LOR,13,4,196,,
Unit 0D.05 North Rail Sec 4 Clear,8454143,LOR,13,5,197,,
Unit 0D.06 North Rail Sec 5 Clear,8454143,LOR,13,6,198,,
Unit 0D.07 North Rail Sec 6 Clear,8454143,LOR,13,7,199,,
Unit 0D.08 North Rail Sec 7 Clear,8454143,LOR,13,8,200,,
Unit 0D.09 North Rail Sec 8 Clear,8454143,LOR,13,9,201,,
Unit 0D.10 North Rail Sec 9 Clear,8454143,LOR,13,10,202,,
Unit 0D.11 North Rail Sec 10 Clear,8454143,LOR,13,11,203,,
Unit 0D.12 North Rail Sec 11 Clear,8454143,LOR,13,12,204,,
Unit 0D.13 North Rail Sec 12 Clear,8454143,LOR,13,13,205,,
Unit 0D.14 North Rail Sec 13 Clear,8454143,LOR,13,14,206,,
Unit 0D.15 North Rail Sec 14 Red/Clear,4210816,LOR,13,15,207,,
Unit 0D.16 750 Watt Strobe NW 3  4.9a,16777215,LOR,13,16,208,,
Unit 0E.01 750 Watt Strobe SE 1  4.9a,16777215,LOR,14,1,209,,
Unit 0E.02 South Rail Sec 1 Red/Clear,4210816,LOR,14,2,210,,
Unit 0E.03 South Rail Sec 2 Clear,8454143,LOR,14,3,211,,
Unit 0E.04 South Rail Sec 3 Clear,8454143,LOR,14,4,212,,
Unit 0E.05 South Rail Sec 4 Clear,8454143,LOR,14,5,213,,
Unit 0E.06 South Rail Sec 5 Clear,8454143,LOR,14,6,214,,
Unit 0E.07 South Rail Sec 6 Clear,8454143,LOR,14,7,215,,
Unit 0E.08 South Rail Sec 7 Clear,8454143,LOR,14,8,216,,
Unit 0E.09 South Rail Sec 8 Clear,8454143,LOR,14,9,217,,
Unit 0E.10 South Rail Sec 9 Clear,8454143,LOR,14,10,218,,
Unit 0E.11 South Rail Sec 10 Clear,8454143,LOR,14,11,219,,
Unit 0E.12 South Rail Sec 11 Clear,8454143,LOR,14,12,220,,
Unit 0E.13 South Rail Sec 12 Clear,8454143,LOR,14,13,221,,
Unit 0E.14 South Rail Sec 13 Clear,8454143,LOR,14,14,222,,
Unit 0E.15 South Rail Sec 14 Red/Clear,4210816,LOR,14,15,223,,
Unit 0E.16 750 Watt Strobe SW 2  4.9a,16777215,LOR,14,16,224,,
Unit 0F.01 Halogens 8.3a,8454143,LOR,15,1,225,,
Unit 0F.02 FT 31 LED W,16777215,LOR,15,2,226,,
Unit 0F.03 FT 32 LED W,16777215,LOR,15,3,227,,
Unit 0F.04 FT 33 LED W,16777215,LOR,15,4,228,,
Unit 0F.05 FT 34 LED W,16777215,LOR,15,5,229,,
Unit 0F.06 FT 35 LED W,16777215,LOR,15,6,230,,
Unit 0F.07 FT 36 LED W,16777215,LOR,15,7,231,,
Unit 0F.08 FT 37 LED W,16777215,LOR,15,8,232,,
Unit 0F.09 FT 38 LED W,16777215,LOR,15,9,233,,
Unit 0F.10 FT 39 LED W,16777215,LOR,15,10,234,,
Unit 0F.11 FT 40 LED W,16777215,LOR,15,11,235,,
Unit 0F.12 FT 31 LED Gold,65535,LOR,15,12,236,,
Unit 0F.13 FT 32 LED Red,255,LOR,15,13,237,,
Unit 0F.14 FT 33 LED Red,255,LOR,15,14,238,,
Unit 0F.15 FT 34 LED Red,255,LOR,15,15,239,,
Unit 0F.16 FT 35 LED Red,255,LOR,15,16,240,,
Unit 10.01 FT 36 LED Red,255,LOR,16,1,241,,
Unit 10.02 FT 37 LED Red,255,LOR,16,2,242,,
Unit 10.03 FT 38 LED Red,255,LOR,16,3,243,,
Unit 10.04 FT 39 LED Red,255,LOR,16,4,244,,
Unit 10.05 FT 40 LED Gold,65535,LOR,16,5,245,,
Unit 10.06 FT 31 LED Green,32768,LOR,16,6,246,,
Unit 10.07 FT 32 LED Blue,16711680,LOR,16,7,247,,
Unit 10.08 FT 33 LED Blue,16711680,LOR,16,8,248,,
Unit 10.09 FT 34 LED Blue,16711680,LOR,16,9,249,,
Unit 10.10 FT 35 LED Blue,16711680,LOR,16,10,250,,
Unit 10.11 FT 36 LED Blue,16711680,LOR,16,11,251,,
Unit 10.12 FT 37 LED Blue,16711680,LOR,16,12,252,,
Unit 10.13 FT 38 LED Blue,16711680,LOR,16,13,253,,
Unit 10.14 FT 39 LED Blue,16711680,LOR,16,14,254,,
Unit 10.15 FT 40 LED Green,32768,LOR,16,15,255,,
Unit 10.16 Halogens 8.3a,8454143,LOR,16,16,256,,
Unit 11.01 Halogens 8.3a,8454143,LOR,17,1,257,,
Unit 11.02 FT 41 LED W,16777215,LOR,17,2,258,,
Unit 11.03 FT 42 LED W,16777215,LOR,17,3,259,,
Unit 11.04 FT 43 LED W,16777215,LOR,17,4,260,,
Unit 11.05 FT 44 LED W,16777215,LOR,17,5,261,,
Unit 11.06 FT 45 LED W,16777215,LOR,17,6,262,,
Unit 11.07 FT 46 LED W,16777215,LOR,17,7,263,,
Unit 11.08 FT 47 LED W,16777215,LOR,17,8,264,,
Unit 11.09 FT 48 LED W,16777215,LOR,17,9,265,,
